Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,36,16352,8301,7768,114,934,11,7117,34105,60,306
C:\AndroidProjects\Feat,36,16352,8301,7768,114,934,11,7117,34105,60,306
C:\AndroidProjects\Feat\app,36,16352,8301,7768,114,934,11,7117,34105,60,306
C:\AndroidProjects\Feat\app\build,11,13133,6290,6197,0,26,0,6817,33234,60,306
C:\AndroidProjects\Feat\app\build\generated,11,13133,6290,6197,0,26,0,6817,33234,60,306
C:\AndroidProjects\Feat\app\build\generated\source,11,13133,6290,6197,0,26,0,6817,33234,60,306
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig,2,28,18,16,0,4,0,6,18,6,18
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest\debug\pit,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest\debug\pit\feat,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\androidTest\debug\pit\feat\test,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\debug\pit,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\buildConfig\debug\pit\feat,1,14,9,8,0,2,0,3,9,3,9
C:\AndroidProjects\Feat\app\build\generated\source\r,9,13105,6272,6181,0,22,0,6811,33216,54,288
C:\AndroidProjects\Feat\app\build\generated\source\r\debug,9,13105,6272,6181,0,22,0,6811,33216,54,288
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android,2,1339,1323,1334,0,4,0,12,64,12,64
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support,2,1339,1323,1334,0,4,0,12,64,12,64
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support\v7,2,1339,1323,1334,0,4,0,12,64,12,64
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support\v7\appcompat,1,1282,1274,1290,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\android\support\v7\cardview,1,57,49,44,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com,5,2875,2835,2862,0,10,0,30,160,30,160
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\dd,1,36,28,24,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\dd\shadow,1,36,28,24,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\dd\shadow\layout,1,36,28,24,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\facebook,1,250,242,236,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google,2,1372,1356,1378,0,4,0,12,64,12,64
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\android,1,1361,1353,1376,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\android\gms,1,1361,1353,1376,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\firebase,1,11,3,2,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\google\firebase\firebase_core,1,11,3,2,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\hanks,1,1217,1209,1224,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\com\hanks\htextview,1,1217,1209,1224,0,2,0,6,32,6,32
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\pit,2,8891,2114,1985,0,8,0,6769,32992,12,64
C:\AndroidProjects\Feat\app\build\generated\source\r\debug\pit\feat,2,8891,2114,1985,0,8,0,6769,32992,12,64
C:\AndroidProjects\Feat\app\src,25,3219,2011,1571,114,908,11,300,871,0,0
C:\AndroidProjects\Feat\app\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
C:\AndroidProjects\Feat\app\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
C:\AndroidProjects\Feat\app\src\androidTest\java\pit,1,13,8,6,0,2,0,3,6,0,0
C:\AndroidProjects\Feat\app\src\androidTest\java\pit\feat,1,13,8,6,0,2,0,3,6,0,0
C:\AndroidProjects\Feat\app\src\main,23,3191,1994,1559,114,903,11,294,848,0,0
C:\AndroidProjects\Feat\app\src\main\java,23,3191,1994,1559,114,903,11,294,848,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit,23,3191,1994,1559,114,903,11,294,848,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat,23,3191,1994,1559,114,903,11,294,848,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\insideApp,1,217,126,94,6,75,0,16,83,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\loginEmailPassword,2,137,90,70,3,42,0,5,43,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\loginFacebook,1,236,137,117,2,83,0,16,22,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\menus,1,202,136,119,5,54,0,12,15,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\models,1,81,56,40,6,22,0,3,8,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\signUp,2,576,376,286,24,186,6,14,48,0,0
C:\AndroidProjects\Feat\app\src\main\java\pit\feat\utility,8,609,421,324,35,146,1,42,162,0,0
C:\AndroidProjects\Feat\app\src\test,1,15,9,6,0,3,0,3,17,0,0
C:\AndroidProjects\Feat\app\src\test\java,1,15,9,6,0,3,0,3,17,0,0
C:\AndroidProjects\Feat\app\src\test\java\pit,1,15,9,6,0,3,0,3,17,0,0
C:\AndroidProjects\Feat\app\src\test\java\pit\feat,1,15,9,6,0,3,0,3,17,0,0
